"Story","Title","Result","Date","Stability","Duration (s)"
"Carrito de compras","Compra de productos desde vista rapida","IGNORED","2022-03-29T18:18:56.072-05:00[America/Bogota]","0.0","0.07"
"Carrito de compras","Compra de productos desde los resultados","IGNORED","2022-03-29T18:18:56.151-05:00[America/Bogota]","0.0","0.07"
